District,Sub-District,Estate,Total po...Total population,Sex ratio,< 15,15 - 39,40 - 64,65+,Male,Female,Both sexes,Never-ma...Never-married male,Never-ma...Never-married female,Cantonese,Putonghu...Putonghua and other Chinese dialects,English ...English and other languages,Hong Kong,The main...The mainland of China/ Macao/ Taiwan,Elsewhere,Primary ...Primary and below,Secondary,Post-sec...Post-secondary,Studying...Studying and living  in the same District Council district,Mass Tra...Mass Transit Railway,On foot only,Bus,School b...School bus/ school private light bus,Others,Working ...Working population,Employees,Employers,Self-emp...Self-employed and unpaid family workers,Non-work...Non-working population,Students,Non-students,Managers...Managers and administrators,Professi...Professionals and associate professionals,"Clerical...Clerical support, service and sales workers","Craft an...Craft and related workers, plant and machine operators and assemblers","Elementa...Elementary occupations , skilled agricultural and fishery workers and occupations not classifiable","Import/e...Import/export, wholesale and retail trades, accommodation and food services","Transpor...Transportation, storage, postal and courier services, information and communications, financing and insurance, real estate, professional and business services","Public a...Public administration, education, human health and social work activities, miscellaneous social and personal services","Manufact...Manufacturing, construction, and other industries",Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Working ...Working and living in the same District Council district(including those working at home)^,Mass Tra...Mass Transit Railway,Bus,On foot only,Public l...Public light bus,Others,Number o...Number of domestic households,1-3,4,5+,Average ...Average domestic household size,Nuclear ...Nuclear family households,Relative...Relative households,Other ho...Other households,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Median age,Chinese,Non-Chinese,1-2,3,4,5+,Without ...Without exclusively used rooms,Per dome...Per domestic household,Per person,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,"Owner-oc...Owner-occupier, with mortgage payment or loan repayment","Owner-oc...Owner-occupier, without mortgage payment and loan repayment",Sole tenant,Others ,Median m...Median monthly mortgage payment and loan repayment,Median m...Median mortgage payment and loan repayment to income ratio,Median o...Median outstanding period of mortgage payment or loan repayment,Median m...Median monthly household rent,Median h...Median household rent to income ratio,Remained...Remained in same address,Resided ...Resided in same District Council district (having migrated),Resided ...Resided in different District Council district (having migrated) ,Resided ...Resided outside Hong Kong
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Yam Estate - Lai Shek / Yan Shek House (Lei Muk Road 2000's)                                                                                                                                                                                ,4599,782,8.5%,44.4%,33.7%,13.4%,36.5,35.5,35.8,42.3%,42.6%,93.8%,6.2%,0.0%,45.2%,52.8%,2.0%,26.8%,50.7%,22.5%,67.9%,12.3%,40.2%,29.6%,1.7%,16.1%,2318,93.1%,0.4%,6.4%,2281,35.4%,64.6%,4.8%,16.9%,41.2%,15.1%,22.0%,37.2%,33.4%,14.4%,15.0%,HK$16000,HK$12000,HK$9750,HK$16000,HK$12000,HK$9750,54hours,45hours,40hours,54hours,45hours,40hours,26.5%,23.4%,50.8%,13.9%,9.4%,2.4%,(N.A.)–Not available,29.8%,26.4%,43.9%,4.3,58.0%,35.4%,6.6%,HK$49500,HK$29500,HK$16960,HK$49500,HK$29500,HK$16960,58.9,100.0%,0.0%,21.0%,33.2%,18.1%,27.6%,0.0%,3.61rooms,0.83rooms,50m²,43m²,34m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2970,10.2%,97.1%,1.0%,1.9%,0.0%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Yam East Estate - Yam Hang House (Tai Pak Tin Street 1990's)                                                                                                                                                                                ,2321,984,9.6%,27.3%,39.7%,23.4%,45.7,49.5,47.3,37.1%,21.5%,97.7%,1.3%,1.0%,43.8%,52.0%,4.2%,31.7%,49.0%,19.4%,70.8%,8.3%,32.4%,37.8%,12.4%,9.1%,1062,94.6%,0.0%,5.4%,1259,24.9%,75.1%,2.7%,12.1%,40.0%,15.9%,29.2%,35.1%,33.5%,16.1%,15.3%,HK$15000,HK$11250,HK$8250,HK$15400,HK$12000,HK$9250,54hours,45hours,39hours,54hours,45hours,35hours,45.8%,25.9%,35.1%,19.4%,15.7%,3.9%,(N.A.)–Not available,72.6%,18.6%,8.8%,2.6,43.0%,24.4%,32.6%,HK$26250,HK$15990,HK$8090,HK$26250,HK$15990,HK$7300,60.5,99.0%,1.0%,39.8%,37.6%,20.2%,2.4%,0.0%,2.77rooms,1.07rooms,43m²,34m²,34m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1980,11.6%,91.0%,3.5%,5.5%,0.0%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Yam East Estate - Yam Yue House (Tai Pak Tin Street 1990's)                                                                                                                                                                                 ,2293,1083,5.9%,25.7%,41.1%,27.3%,47.3,52.4,49.8,41.1%,28.4%,93.4%,4.3%,2.2%,55.7%,40.6%,3.7%,35.5%,53.8%,10.7%,62.7%,21.7%,16.9%,29.0%,5.7%,26.8%,1098,94.4%,0.0%,5.6%,1195,28.8%,71.2%,3.5%,13.1%,40.4%,19.0%,24.0%,36.4%,38.4%,8.4%,16.8%,HK$16500,HK$11250,HK$8250,HK$16500,HK$11250,HK$8250,50hours,43hours,32hours,50hours,43hours,32hours,30.4%,19.0%,53.8%,11.6%,10.8%,4.8%,(N.A.)–Not available,57.6%,26.5%,15.9%,3.2,50.8%,38.6%,10.5%,HK$30990,HK$20000,HK$14540,HK$30990,HK$20000,HK$14540,66.1,97.2%,2.8%,8.7%,57.6%,33.7%,0.0%,0.0%,3.23rooms,1.01rooms,43m²,43m²,43m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2250,11.0%,95.6%,1.5%,1.6%,1.3%
Kwai Tsing,Sheung Kwai Chung,(Kwai Chung) Shek Yam East Estate - Yam Hing House (Tai Pak Tin Street 1990's)                                                                                                                                                                                ,2080,931,14.6%,25.6%,41.4%,18.4%,44.6,44.7,44.7,27.1%,15.0%,98.1%,0.4%,1.4%,60.6%,35.0%,4.4%,27.0%,58.2%,14.8%,76.9%,6.3%,51.3%,35.4%,3.2%,3.8%,961,92.2%,0.0%,7.8%,1119,29.9%,70.1%,1.6%,19.0%,30.5%,31.6%,17.3%,18.8%,37.6%,19.0%,24.6%,HK$16500,HK$12250,HK$10000,HK$16500,HK$12750,HK$10100,50hours,45hours,40hours,50hours,45hours,40hours,32.5%,26.9%,52.4%,11.4%,5.3%,4.0%,(N.A.)–Not available,70.6%,21.9%,7.4%,2.8,56.4%,29.1%,14.5%,HK$29990,HK$18190,HK$11000,HK$29990,HK$18190,HK$10330,56.1,96.1%,3.9%,25.4%,59.4%,15.2%,0.0%,0.0%,2.86rooms,1.02rooms,34m²,34m²,34m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1980,9.7%,92.6%,6.0%,1.4%,0.0%
Kwai Tsing,Sheung Kwai Chung,(Kwai Tsing District) village houses                                                                                                                                                                                                                          ,7300,749,17.2%,35.0%,34.1%,13.7%,40.3,38.0,38.8,21.8%,22.4%,91.4%,4.8%,3.8%,67.2%,26.3%,6.4%,15.8%,53.0%,31.2%,58.9%,13.2%,34.4%,25.8%,18.8%,7.8%,3638,86.1%,4.4%,9.5%,3662,33.8%,66.2%,6.9%,27.6%,35.9%,11.4%,18.2%,27.5%,35.3%,25.9%,11.4%,HK$21250,HK$15000,HK$9500,HK$21250,HK$15500,HK$10250,55hours,45hours,40hours,50hours,45hours,40hours,33.9%,38.6%,34.9%,5.2%,9.0%,12.3%,(N.A.)–Not available,64.0%,24.3%,11.6%,3.1,63.1%,19.2%,17.7%,HK$42650,HK$28000,HK$12520,HK$42250,HK$28000,HK$12500,50.0,99.5%,0.5%,21.1%,33.6%,30.8%,14.5%,0.0%,3.45rooms,1.13rooms,65m²,56m²,36m²,11.0%,40.7%,38.3%,10.0%,HK$8900,19.3%,20years,HK$7500,23.8%,74.9%,9.2%,12.2%,3.7%
Kwai Tsing,Sheung Kwai Chung,(Kwai Tsing District) other buildings                                                                                                                                                                                                                         ,12760,795,16.4%,33.5%,35.6%,14.6%,42.3,39.2,40.1,25.8%,29.7%,93.7%,1.7%,4.6%,73.5%,19.8%,6.7%,22.3%,52.5%,25.2%,39.5%,18.2%,21.9%,11.1%,36.5%,12.3%,5101,93.6%,1.6%,4.8%,7659,31.8%,68.2%,5.7%,20.2%,54.5%,3.0%,16.7%,13.6%,15.4%,68.1%,2.8%,HK$33660,HK$25000,HK$10000,HK$33800,HK$29000,HK$14500,50hours,46hours,40hours,48hours,45hours,40hours,28.5%,36.5%,27.7%,4.5%,8.5%,22.8%,(N.A.)–Not available,56.5%,27.6%,15.9%,3.3,87.8%,3.6%,8.6%,HK$65000,HK$45000,HK$32370,HK$62500,HK$45000,HK$32000,43.7,98.8%,1.2%,10.3%,9.7%,52.8%,26.9%,0.3%,3.94rooms,1.21rooms,65m²,55m²,46m²,2.5%,2.6%,13.2%,81.6%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$2520,4.9%,64.7%,9.7%,20.4%,5.2%
Tsuen Wan,Tsing Lung Tau,(Tsing Lung Tau) Hong Kong Garden (Phase 1) / Royal Sea Crest (Castle Peak Road - Tsing Lung Tau / Lung Tang Road 1980's-1990's)                                                                                                                              ,2419,864,8.6%,36.4%,43.7%,11.3%,43.7,43.7,43.7,28.4%,28.0%,88.7%,4.8%,6.5%,73.1%,17.1%,9.8%,10.3%,44.4%,45.3%,41.8%,17.7%,0.0%,4.6%,21.5%,56.1%,1506,88.7%,3.9%,7.4%,913,28.3%,71.7%,18.9%,31.9%,29.5%,8.1%,11.6%,29.2%,29.6%,27.6%,13.6%,HK$30000,HK$18000,HK$12000,HK$30000,HK$20000,HK$13500,50hours,45hours,40hours,49hours,44hours,40hours,29.3%,25.7%,22.6%,0.0%,37.3%,14.4%,(N.A.)–Not available,81.9%,8.7%,9.4%,2.5,66.5%,6.8%,26.8%,HK$50000,HK$31250,HK$18730,HK$50000,HK$31250,HK$18730,51.7,97.6%,2.4%,12.9%,37.5%,25.3%,24.3%,0.0%,3.70rooms,1.48rooms,48m²,34m²,33m²,30.1%,40.4%,25.6%,3.9%,HK$7970,19.1%,18years,HK$9500,30.0%,66.3%,14.4%,16.5%,2.9%
Tsuen Wan,Tsing Lung Tau,(Tsing Lung Tau) Hong Kong Garden (Phase 2) (Castle Peak Road - Tsing Lung Tau 1980's)                                                                                                                                                                        ,2364,773,12.9%,33.0%,40.9%,13.3%,46.1,42.2,44.2,25.8%,19.8%,95.7%,0.8%,3.5%,75.0%,14.3%,10.7%,9.8%,45.4%,44.9%,53.7%,10.1%,0.0%,20.8%,29.9%,39.3%,1175,87.1%,5.2%,7.7%,1189,27.8%,72.2%,11.4%,46.6%,21.7%,1.7%,18.6%,20.4%,41.2%,26.6%,11.8%,HK$35000,HK$21000,HK$12000,HK$37000,HK$25000,HK$15500,50hours,44hours,40hours,50hours,43hours,40hours,35.9%,16.9%,36.6%,0.0%,19.7%,26.7%,(N.A.)–Not available,68.6%,17.9%,13.5%,3.0,85.0%,7.0%,8.0%,HK$60000,HK$43360,HK$21710,HK$60000,HK$41750,HK$18790,53.3,97.6%,2.4%,3.9%,24.3%,35.2%,36.6%,0.0%,4.06rooms,1.33rooms,77m²,66m²,50m²,32.8%,43.0%,17.5%,6.6%,HK$8330,18.1%,15years,HK$12500,32.1%,75.2%,7.9%,16.9%,0.0%
Tsuen Wan,Tsing Lung Tau,(Tsing Lung Tau) Hong Kong Garden (Phase 3) (Castle Peak Road - Tsing Lung Tau 1980's)                                                                                                                                                                        ,3942,841,9.9%,36.6%,43.2%,10.2%,44.9,40.5,41.9,33.4%,26.5%,89.8%,3.1%,7.0%,62.8%,23.8%,13.4%,7.7%,45.7%,46.6%,40.4%,7.2%,0.0%,16.6%,27.3%,49.0%,2196,76.8%,14.7%,8.5%,1746,33.5%,66.5%,24.8%,32.7%,17.1%,2.3%,23.1%,29.2%,25.3%,34.9%,10.6%,HK$30000,HK$20000,HK$8400,HK$39000,HK$24000,HK$15000,54hours,45hours,40hours,50hours,44hours,40hours,38.2%,12.6%,30.4%,0.7%,15.5%,40.7%,(N.A.)–Not available,53.3%,21.9%,24.9%,3.4,77.1%,11.9%,11.1%,HK$87600,HK$46000,HK$23000,HK$87600,HK$45650,HK$23000,56.3,97.9%,2.1%,0.0%,2.8%,34.7%,62.5%,0.0%,4.69rooms,1.37rooms,111m²,88m²,74m²,44.9%,36.6%,8.6%,10.0%,HK$13800,22.6%,15years,HK$16500,33.0%,67.0%,17.5%,10.1%,5.4%
Tsuen Wan,Ma Wan,(Ma Wan) Park Island (Phase 1) Tower 8-18 (Pak Lai Road 2000's)                                                                                                                                                                                               ,3875,795,13.1%,28.0%,47.9%,11.0%,43.0,42.8,42.9,23.3%,28.1%,86.3%,2.2%,11.4%,70.8%,14.7%,14.5%,8.5%,36.0%,55.5%,39.3%,32.3%,30.5%,9.0%,10.3%,17.9%,2204,88.9%,4.1%,7.0%,1671,33.6%,66.4%,20.9%,40.6%,20.3%,3.7%,14.5%,20.3%,39.2%,31.5%,8.9%,HK$40000,HK$21770,HK$13000,HK$41480,HK$26250,HK$15840,50hours,44hours,40hours,45hours,41hours,40hours,22.1%,48.5%,20.0%,1.9%,0.6%,29.0%,(N.A.)–Not available,76.7%,11.8%,11.5%,2.5,64.6%,7.6%,27.8%,HK$65000,HK$40000,HK$24250,HK$65000,HK$40000,HK$24250,46.9,93.4%,6.6%,15.3%,33.3%,26.4%,24.9%,0.0%,3.72rooms,1.47rooms,57m²,49m²,48m²,53.6%,18.7%,23.3%,4.4%,HK$10000,22.4%,15years,HK$13000,29.7%,67.2%,8.4%,15.2%,9.1%
Tsuen Wan,Ma Wan,(Ma Wan) Park Island (Phase 2) Tower 2-7 (Pak Lai Road 2000's)                                                                                                                                                                                                ,2374,737,20.5%,32.5%,39.7%,7.3%,35.2,38.5,37.5,23.1%,30.3%,82.8%,2.4%,14.8%,72.8%,12.6%,14.6%,8.1%,36.1%,55.8%,48.6%,18.8%,39.7%,8.8%,24.9%,7.7%,1304,90.3%,5.9%,3.8%,1070,43.9%,56.1%,23.0%,37.0%,18.4%,2.3%,19.2%,23.7%,37.7%,34.0%,4.7%,HK$50000,HK$26250,HK$13000,HK$54000,HK$30000,HK$20000,55hours,44hours,40hours,45hours,40hours,39hours,27.9%,45.1%,9.5%,1.4%,0.0%,44.0%,(N.A.)–Not available,60.7%,17.8%,21.5%,3.0,63.3%,12.5%,24.2%,HK$84210,HK$59000,HK$30000,HK$80000,HK$58000,HK$30000,47.0,94.3%,5.7%,2.5%,35.6%,27.9%,33.9%,0.0%,4.06rooms,1.33rooms,72m²,56m²,49m²,49.2%,23.4%,23.4%,4.0%,HK$10400,15.7%,14years,HK$14800,20.8%,58.3%,14.0%,21.2%,6.6%
Tsuen Wan,Ma Wan,"(Ma Wan) Park Island (Phase 3) Tower 1, 19-25 (Pak Lai Road 2000's)                                                                                                                                                                                           ",3832,791,14.5%,33.2%,38.9%,13.4%,40.8,42.3,41.7,22.1%,22.2%,79.0%,4.5%,16.5%,66.1%,18.5%,15.4%,8.8%,35.3%,55.9%,39.5%,33.3%,32.3%,7.2%,9.4%,17.8%,2081,85.6%,5.5%,8.9%,1751,26.0%,74.0%,20.3%,44.3%,16.0%,2.9%,16.5%,17.9%,40.9%,34.7%,6.4%,HK$45000,HK$26000,HK$14500,HK$50000,HK$30000,HK$20000,50hours,44hours,40hours,47hours,43hours,35hours,25.1%,48.6%,7.4%,1.3%,0.6%,42.1%,(N.A.)–Not available,73.0%,14.1%,12.9%,2.7,62.9%,12.7%,24.3%,HK$76200,HK$49160,HK$26990,HK$75000,HK$49000,HK$26990,48.7,89.9%,10.1%,2.2%,45.7%,18.4%,33.7%,0.0%,3.97rooms,1.46rooms,66m²,51m²,49m²,49.6%,26.6%,21.7%,2.1%,HK$12200,18.6%,14years,HK$14500,23.8%,60.9%,10.7%,20.3%,8.2%
Tsuen Wan,Ma Wan,"(Ma Wan) Park Island (Phase 5, 6) Tower 26-35 (Pak Lai Road 2000's)                                                                                                                                                                                           ",3156,905,15.7%,34.0%,38.3%,12.0%,42.5,38.9,40.2,20.0%,25.4%,79.7%,4.1%,16.2%,62.2%,20.7%,17.1%,9.5%,30.0%,60.5%,37.6%,26.1%,26.1%,12.4%,8.8%,26.7%,1817,81.2%,7.0%,11.8%,1339,36.2%,63.8%,23.0%,43.4%,17.4%,3.1%,13.1%,18.1%,42.9%,29.9%,9.1%,HK$40000,HK$27850,HK$15000,HK$43000,HK$30000,HK$20000,48hours,40hours,35hours,45hours,40hours,35hours,26.2%,41.7%,13.1%,1.6%,0.0%,43.6%,(N.A.)–Not available,77.8%,8.9%,13.2%,2.6,62.2%,10.4%,27.4%,HK$73150,HK$50500,HK$30000,HK$70500,HK$49000,HK$30000,46.6,86.5%,13.5%,5.1%,42.0%,27.1%,25.8%,0.0%,3.84rooms,1.48rooms,56m²,53m²,47m²,53.3%,14.6%,29.0%,3.0%,HK$12000,20.7%,17years,HK$14500,31.1%,57.6%,11.7%,19.4%,11.3%
Tsuen Wan,Sham Tseng,(Sham Tseng) Bellagio Tower 1-5 (Castle Peak Road - Sham Tseng 2000's)                                                                                                                                                                                        ,5263,711,12.9%,35.0%,45.3%,6.8%,42.5,39.9,40.8,25.2%,26.1%,86.9%,2.0%,11.1%,71.4%,14.6%,14.0%,8.6%,40.9%,50.5%,35.2%,13.4%,13.4%,17.6%,29.9%,25.8%,3198,78.1%,12.2%,9.7%,2065,33.1%,66.9%,29.0%,28.6%,20.5%,2.9%,19.0%,27.6%,33.2%,28.5%,10.7%,HK$40000,HK$23000,HK$10250,HK$48000,HK$30000,HK$18000,55hours,45hours,40hours,49hours,43hours,40hours,37.6%,21.6%,34.1%,1.6%,13.6%,29.2%,(N.A.)–Not available,60.0%,21.0%,19.0%,3.2,74.9%,11.1%,14.0%,HK$97000,HK$60000,HK$36000,HK$92790,HK$60000,HK$33740,49.4,98.5%,1.5%,0.6%,22.7%,25.0%,51.8%,0.0%,4.55rooms,1.43rooms,87m²,75m²,53m²,55.1%,26.8%,16.2%,1.9%,HK$15000,21.3%,17years,HK$15500,23.7%,62.8%,18.1%,17.7%,1.4%
Tsuen Wan,Sham Tseng,(Sham Tseng) Bellagio Tower 6-9 (Castle Peak Road - Sham Tseng 2000's)                                                                                                                                                                                        ,5189,862,14.9%,31.9%,44.5%,8.7%,41.2,41.8,41.4,23.6%,20.6%,92.2%,1.8%,6.0%,71.2%,18.0%,10.8%,7.7%,40.4%,51.8%,60.6%,11.6%,20.4%,22.9%,22.4%,22.9%,3099,80.0%,10.2%,9.8%,2090,40.5%,59.5%,29.0%,35.6%,18.3%,1.9%,15.2%,29.3%,30.6%,26.2%,13.9%,HK$40000,HK$24000,HK$12750,HK$42180,HK$28040,HK$19500,50hours,44hours,40hours,50hours,42hours,40hours,30.0%,18.6%,35.7%,0.4%,13.6%,31.6%,(N.A.)–Not available,63.3%,22.3%,14.4%,3.0,76.2%,10.3%,13.5%,HK$79210,HK$47500,HK$29870,HK$77500,HK$46000,HK$29000,48.7,98.3%,1.7%,1.6%,35.7%,20.6%,42.0%,0.0%,4.14rooms,1.37rooms,72m²,49m²,48m²,53.1%,34.2%,11.0%,1.8%,HK$10500,18.1%,15years,HK$14000,26.3%,85.0%,6.8%,8.2%,0.0%
Tsuen Wan,Sham Tseng,(Sham Tseng) Rhine Garden / Rhine Terrace (Castle Peak Road - Sham Tseng 1990's)                                                                                                                                                                              ,4254,820,10.7%,35.1%,46.9%,7.2%,45.3,40.2,43.1,27.9%,34.5%,89.5%,2.0%,8.5%,72.2%,15.8%,12.0%,8.6%,42.4%,49.0%,39.8%,20.2%,15.0%,20.2%,25.5%,19.1%,2384,82.5%,5.0%,12.5%,1870,39.7%,60.3%,13.2%,36.3%,29.8%,3.9%,16.8%,28.2%,35.2%,26.3%,10.2%,HK$30000,HK$20000,HK$10450,HK$34000,HK$20300,HK$14000,50hours,43hours,40hours,48hours,42hours,40hours,28.2%,19.4%,37.7%,2.7%,9.3%,30.9%,(N.A.)–Not available,57.5%,24.0%,18.5%,3.3,75.2%,12.8%,12.1%,HK$69230,HK$44800,HK$25300,HK$66100,HK$44000,HK$25300,54.6,96.3%,3.7%,5.4%,7.3%,45.6%,41.7%,0.0%,4.31rooms,1.32rooms,66m²,63m²,59m²,38.5%,42.1%,16.2%,3.2%,HK$9500,17.1%,12years,HK$12800,29.9%,77.0%,15.7%,7.4%,0.0%
Tsuen Wan,Sham Tseng,(Sham Tseng) Lido Garden Tower 1-3 (Castle Peak Road - Sham Tseng 1980's)                                                                                                                                                                                     ,2459,830,10.1%,35.4%,43.4%,11.1%,42.5,41.8,42.3,28.3%,28.2%,93.9%,2.3%,3.8%,70.3%,21.2%,8.5%,10.1%,45.4%,44.4%,57.8%,7.2%,28.3%,28.1%,12.5%,24.0%,1469,88.1%,3.8%,8.1%,990,37.4%,62.6%,9.1%,49.4%,21.5%,4.2%,15.8%,28.0%,32.7%,30.8%,8.6%,HK$31250,HK$18000,HK$10000,HK$33750,HK$20000,HK$13000,50hours,43hours,40hours,48hours,43hours,40hours,32.4%,18.7%,44.6%,1.9%,11.3%,23.5%,(N.A.)–Not available,62.2%,22.7%,15.1%,3.2,72.3%,12.5%,15.2%,HK$69000,HK$43490,HK$29160,HK$65420,HK$43490,HK$25000,49.2,100.0%,0.0%,3.6%,29.2%,52.5%,14.7%,0.0%,3.81rooms,1.20rooms,61m²,57m²,53m²,38.8%,37.4%,19.8%,4.0%,HK$8500,14.3%,21years,HK$11500,27.1%,65.9%,23.2%,10.9%,0.0%
Tsuen Wan,Sham Tseng,(Sham Tseng) Lido Garden Tower 4-5 (Castle Peak Road - Sham Tseng 1980's)                                                                                                                                                                                     ,1467,736,9.4%,28.6%,48.3%,13.6%,45.9,43.9,44.4,25.2%,31.8%,90.3%,0.7%,9.0%,68.8%,24.1%,7.1%,13.5%,43.4%,43.1%,29.2%,6.2%,11.2%,31.7%,40.4%,10.6%,798,80.5%,8.3%,11.3%,669,31.2%,68.8%,24.6%,35.6%,19.8%,3.9%,16.2%,28.9%,31.8%,30.5%,8.8%,HK$33750,HK$21250,HK$13500,HK$38000,HK$25000,HK$15000,55hours,45hours,40hours,50hours,45hours,40hours,26.2%,21.2%,27.9%,3.2%,26.3%,21.3%,(N.A.)–Not available,71.3%,16.4%,12.3%,2.7,68.8%,5.1%,26.1%,HK$65000,HK$47000,HK$20000,HK$65000,HK$47000,HK$20000,53.4,100.0%,0.0%,0.0%,41.6%,32.1%,26.3%,0.0%,3.91rooms,1.44rooms,61m²,57m²,53m²,39.7%,43.1%,11.9%,5.3%,HK$8500,16.3%,15years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,84.0%,2.4%,8.4%,5.1%
Tsuen Wan,Sham Tseng,(Sham Tseng) Ocean Pointe / Angler's Bay (Sham Tsz Street / Castle Peak Road - Sham Tseng 2000's)                                                                                                                                                             ,2113,837,10.6%,33.7%,48.8%,6.8%,44.7,42.6,42.8,24.8%,28.2%,92.9%,0.0%,7.1%,73.7%,15.8%,10.5%,4.9%,50.4%,44.7%,27.1%,28.8%,4.0%,13.0%,39.5%,14.7%,1263,79.7%,15.0%,5.4%,850,38.8%,61.2%,31.2%,32.2%,17.0%,1.5%,18.1%,25.3%,25.7%,34.3%,14.6%,HK$50000,HK$26880,HK$10450,HK$55000,HK$30000,HK$18000,50hours,44hours,40hours,49hours,43hours,39hours,41.9%,30.8%,31.7%,1.1%,3.5%,32.8%,(N.A.)–Not available,65.8%,20.3%,13.9%,2.9,68.6%,12.5%,18.9%,HK$99160,HK$64210,HK$31500,HK$97700,HK$62230,HK$31500,53.3,100.0%,0.0%,1.5%,10.7%,34.9%,52.8%,0.0%,4.65rooms,1.60rooms,72m²,63m²,61m²,46.8%,37.6%,7.6%,8.0%,HK$11700,14.1%,15years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,82.1%,5.7%,7.2%,5.0%
Tsuen Wan,Sham Tseng,(Sham Tseng) Sea Crest Villa (Phase 1-2) (Castle Peak Road - Tsing Lung Tau 1990's)                                                                                                                                                                           ,2766,891,10.4%,35.3%,43.2%,11.1%,44.4,41.2,42.5,19.5%,21.2%,89.4%,2.5%,8.1%,70.1%,17.7%,12.2%,9.2%,35.3%,55.5%,57.6%,7.4%,19.3%,19.8%,31.3%,22.2%,1776,87.2%,5.6%,7.2%,990,30.1%,69.9%,15.5%,43.1%,22.1%,4.4%,14.8%,23.9%,31.9%,35.2%,9.0%,HK$45000,HK$25000,HK$12750,HK$47800,HK$30000,HK$16000,50hours,44hours,40hours,48hours,40hours,40hours,22.0%,23.1%,43.7%,0.0%,10.7%,22.4%,(N.A.)–Not available,76.4%,14.2%,9.4%,2.7,74.6%,8.7%,16.8%,HK$84160,HK$51000,HK$35000,HK$80000,HK$50050,HK$34650,52.8,97.7%,2.3%,0.9%,21.7%,50.2%,27.3%,0.0%,4.12rooms,1.51rooms,58m²,52m²,44m²,53.3%,29.8%,13.2%,3.7%,HK$10500,16.7%,13years,HK$13000,28.0%,64.7%,19.7%,14.3%,1.3%
Tsuen Wan,Sham Tseng,(Sham Tseng) Sea Crest Villa (Phase 3-4) (Castle Peak Road - Tsing Lung Tau 1990's)                                                                                                                                                                           ,2382,954,7.0%,29.7%,48.6%,14.8%,46.3,46.6,46.5,24.0%,19.8%,91.9%,3.4%,4.7%,70.6%,20.6%,8.8%,6.7%,40.7%,52.7%,25.1%,0.0%,0.0%,13.4%,49.2%,37.4%,1450,84.8%,5.7%,9.5%,932,20.2%,79.8%,22.8%,35.2%,28.2%,1.4%,12.4%,24.3%,37.5%,24.7%,13.5%,HK$44000,HK$25000,HK$13000,HK$45000,HK$28000,HK$15000,50hours,44hours,40hours,50hours,43hours,39hours,22.4%,13.7%,42.4%,0.0%,20.1%,23.8%,(N.A.)–Not available,86.0%,8.3%,5.7%,2.3,70.1%,5.5%,24.5%,HK$62750,HK$40000,HK$20000,HK$62750,HK$40000,HK$18580,49.6,96.7%,3.3%,1.1%,29.8%,46.2%,22.9%,0.0%,3.92rooms,1.70rooms,59m²,44m²,40m²,37.2%,38.7%,17.2%,6.9%,HK$9000,18.6%,20years,HK$11600,25.6%,64.4%,10.4%,21.1%,4.0%
